run_id,date,code,volume,available_volume,cost_price,last_price,unrealized_pnl,holding_days
20260816_125500_300541,2019-01-03,300087.SZ,900,0,90.561884,87.04176,-3168.1116,1
20260816_125500_300541,2019-01-03,603663.SH,4700,0,17.724743,17.8947,798.7979,1
20260816_125500_300541,2019-01-03,002155.SZ,3900,0,20.962125,21.97608,3954.4245,1
20260816_125500_300541,2019-01-04,300087.SZ,900,900,90.561884,95.7216,4643.7444,2
20260816_125500_300541,2019-01-04,603663.SH,4700,4700,17.724743,17.9958,1273.9679,2
20260816_125500_300541,2019-01-04,002155.SZ,3900,3900,20.962125,21.8694,3538.3725,2
20260816_125500_300541,2019-01-07,300087.SZ,900,900,90.561884,98.1552,6833.9844,3
20260816_125500_300541,2019-01-07,603663.SH,4700,4700,17.724743,19.43142,8021.3819,3
20260816_125500_300541,2019-01-07,002155.SZ,3900,3900,20.962125,21.78939,3226.3335,3
20260816_125500_300541,2019-01-07,601989.SH,11000,0,7.612146,7.78766,1930.654,1
20260816_125500_300541,2019-01-07,600863.SH,2000,0,40.536798,40.48618,-101.236,1
20260816_125500_300541,2019-01-07,600820.SH,700,0,117.051962,119.91701,2005.5336,1
20260816_125500_300541,2019-01-07,603665.SH,3000,0,27.178988,28.15005,2913.186,1
20260816_125500_300541,2019-01-07,300610.SZ,4000,0,20.555508,20.18162,-1495.552,1
20260816_125500_300541,2019-01-08,300087.SZ,900,900,90.561884,97.26288,6030.8964,4
20260816_125500_300541,2019-01-08,603663.SH,4700,4700,17.724743,19.08768,6405.8039,4
20260816_125500_300541,2019-01-08,002155.SZ,3900,3900,20.962125,20.82927,-518.1345,4
20260816_125500_300541,2019-01-08,601989.SH,11000,11000,7.612146,7.61946,80.454,2
20260816_125500_300541,2019-01-08,600863.SH,2000,2000,40.536798,40.65629,238.984,2
20260816_125500_300541,2019-01-08,600820.SH,700,700,117.051962,118.6771,1137.5966,2
20260816_125500_300541,2019-01-08,603665.SH,3000,3000,27.178988,28.341,3486.036,2
20260816_125500_300541,2019-01-08,300610.SZ,4000,4000,20.555508,19.8334,-2888.432,2
20260816_125500_300541,2019-01-08,601107.SH,19100,0,4.446352,4.4164,-572.0832,1
20260816_125500_300541,2019-01-08,601158.SH,10900,0,7.755985,7.80066,486.9575,1
20260816_125500_300541,2019-01-08,000899.SZ,5300,0,16.011353,16.05912,253.1651,1
